,Sample Num,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
0,-1.1,29.66,,,,,,
1,2935.0,-0.03,-0.05,0.97,-2.58,3.07,-1.57,29.61
2,2936.0,-0.02,-0.06,0.94,-0.5,0.63,-0.79,29.61
3,2937.0,-0.03,-0.06,0.95,1.66,0.38,-1.16,29.57
4,2938.0,-0.03,-0.07,0.97,1.24,0.34,-1.33,29.57
5,2939.0,-0.04,-0.06,0.98,-3.21,0.72,-0.66,29.61
6,2940.0,-0.03,-0.07,0.97,-3.44,0.81,0.35,29.71
7,2941.0,-0.03,-0.07,0.98,-0.67,0.89,1.31,29.71
8,2942.0,-0.03,-0.05,0.97,-0.75,3.45,1.8,29.57
9,2943.0,-0.03,-0.04,0.97,-0.52,1.48,2.21,29.57
10,2944.0,-0.03,-0.04,0.97,-0.06,-1.42,2.41,29.61
11,2945.0,-0.03,-0.05,0.97,0.11,-0.5,2.08,29.61
12,2946.0,-0.02,-0.04,0.99,0.5,0.76,2.14,29.57
13,2947.0,-0.02,-0.05,0.98,0.08,1.01,1.97,29.66
14,2948.0,-0.03,-0.03,0.97,-0.52,1.95,4.17,29.61
15,2949.0,-0.01,-0.04,0.96,0.09,1.37,4.34,29.61
16,2950.0,-0.01,-0.04,0.96,1.89,0.18,2.81,29.57
17,2951.0,-0.01,-0.03,0.97,3.07,1.19,2.64,29.57
18,2952.0,-0.01,-0.05,0.98,0.82,2.63,2.0,29.61
19,2953.0,-0.01,-0.06,0.96,-0.7,1.25,1.37,29.61
20,2954.0,-0.01,-0.06,0.96,-1.02,0.89,1.68,29.57
21,2955.0,-0.0,-0.06,0.96,0.15,1.39,2.63,29.57
22,2956.0,0.0,-0.06,0.96,2.38,-0.44,2.92,29.61
23,2957.0,0.0,-0.06,0.97,4.82,-1.57,4.56,29.52
24,2958.0,-0.0,-0.06,0.98,2.96,-0.6,4.34,29.61
25,2959.0,0.0,-0.05,0.99,1.31,0.17,3.59,29.66
26,2960.0,0.0,-0.06,0.98,1.5,0.05,3.31,29.61
27,2961.0,0.0,-0.05,0.98,1.56,1.6,2.17,29.52
28,2962.0,0.01,-0.05,0.97,0.75,3.56,1.59,29.57
29,2963.0,0.01,-0.06,0.96,-1.36,3.11,1.28,29.66
30,2964.0,0.01,-0.06,0.94,-2.79,0.53,1.15,29.52
31,2965.0,0.02,-0.05,0.95,-1.95,-0.78,1.51,29.42
32,2966.0,0.03,-0.05,0.94,1.22,-1.22,1.5,29.66
33,2967.0,0.02,-0.07,0.94,3.16,-2.21,2.92,29.57
34,2968.0,0.01,-0.07,0.96,1.13,-2.58,2.4,29.61
35,2969.0,0.01,-0.06,0.98,-0.52,-1.79,2.66,29.61
36,2970.0,0.0,-0.06,0.97,-0.73,1.1,2.18,29.66
37,2971.0,0.02,-0.05,0.95,-0.14,0.58,2.93,29.66
38,2972.0,0.01,-0.06,0.94,2.38,-2.14,2.49,29.61
39,2973.0,-0.0,-0.07,0.94,2.2,-2.92,2.66,29.71
40,2974.0,0.0,-0.06,0.96,-2.02,-1.85,2.06,29.57
41,2975.0,0.01,-0.07,0.96,-7.3,-1.91,0.15,29.57
42,2976.0,0.0,-0.07,0.95,-9.28,-3.25,0.73,29.71
43,2977.0,0.01,-0.07,0.96,-8.82,-3.02,0.76,29.61
44,2978.0,0.01,-0.06,0.96,-3.86,-4.23,2.31,29.57
45,2979.0,0.01,-0.05,0.97,0.38,-5.15,1.16,29.66
46,2980.0,-0.0,-0.07,0.98,1.25,-3.21,0.61,29.61
47,2981.0,-0.01,-0.06,0.98,-2.79,-1.45,0.55,29.71
48,2982.0,-0.01,-0.06,0.98,-3.82,-2.72,1.16,29.57
49,2983.0,0.0,-0.05,0.97,-0.34,-2.58,2.14,29.66
50,2984.0,0.01,-0.07,0.96,4.55,-0.6,3.18,29.61
51,2985.0,0.01,-0.06,0.95,6.58,-1.53,5.19,29.61
52,2986.0,-0.0,-0.06,0.97,3.91,-4.31,7.24,29.57
53,2987.0,-0.0,-0.06,0.98,-0.35,-3.21,6.67,29.66
54,2988.0,0.0,-0.06,0.97,-6.18,-0.98,4.26,29.61
55,2989.0,0.01,-0.04,0.96,-6.12,-2.21,3.1,29.61
56,2990.0,0.01,-0.07,0.96,-3.71,-2.69,2.4,29.57
57,2991.0,0.0,-0.04,0.97,-5.56,-1.73,2.08,29.57
58,2992.0,0.01,-0.04,0.96,-4.44,-2.96,3.28,29.71
59,2993.0,-0.0,-0.03,0.96,-7.62,-4.81,2.02,29.61
60,2994.0,-0.0,-0.04,0.96,-8.44,-4.24,0.21,29.57
61,2995.0,0.0,-0.05,0.97,-3.95,-5.3,3.51,29.57
62,2996.0,0.02,-0.02,0.99,3.15,-8.79,9.22,29.61
63,2997.0,0.02,-0.06,0.99,8.84,-7.79,10.41,29.61
64,2998.0,0.03,-0.05,1.06,6.63,-12.43,5.82,29.66
65,2999.0,0.06,-0.05,1.22,8.17,-17.8,6.6,29.66
66,3000.0,0.1,-0.06,1.33,12.99,-15.63,13.44,29.52
67,3001.0,0.08,-0.05,1.5,11.53,-17.28,15.13,29.61
68,3002.0,0.04,-0.08,1.67,7.86,-22.47,21.5,29.66
69,3003.0,0.04,-0.02,1.9,-17.92,-26.11,22.06,29.66
70,3004.0,0.08,0.03,2.2,-34.9,-34.2,19.16,29.61
71,3005.0,0.07,0.04,2.47,-40.08,-22.31,12.15,29.61
72,3006.0,0.11,-0.21,2.72,-35.01,-13.62,7.1,29.66
73,3007.0,0.03,-0.31,2.89,-42.73,-5.47,31.97,29.57
74,3008.0,-0.24,-0.6,3.18,-84.11,16.24,10.58,29.61
75,3009.0,-0.04,-0.46,3.39,-122.44,37.02,43.8,29.66
76,3010.0,0.02,-0.35,3.25,-136.03,63.21,71.95,29.66
77,3011.0,0.28,-0.13,2.95,-116.31,74.12,94.52,29.61
78,3012.0,0.43,0.04,2.73,-73.8,62.58,84.46,29.71
79,3013.0,0.22,-0.06,2.69,2.66,42.6,58.72,29.66
80,3014.0,0.22,0.01,2.66,29.54,70.05,30.34,29.66
81,3015.0,0.12,0.01,2.57,-0.2,90.55,7.76,29.61
82,3016.0,0.12,-0.01,2.35,-30.14,93.01,13.24,29.61
83,3017.0,0.13,-0.12,2.0,-64.89,89.63,18.93,29.66
84,3018.0,0.23,-0.12,1.63,-69.53,86.43,56.37,29.66
85,3019.0,0.21,-0.2,1.27,-61.07,72.09,32.23,29.71
86,3020.0,-0.11,-0.51,1.12,-39.59,33.33,7.31,29.61
87,3021.0,-0.14,-0.4,0.75,-15.98,14.73,-9.76,29.61
88,3022.0,-0.18,-0.46,0.82,24.98,-6.81,-10.79,29.57
89,3023.0,-0.16,-0.44,0.79,61.33,0.99,-30.0,29.61
90,3024.0,-0.25,-0.59,0.83,114.87,8.64,-65.22,29.52
91,3025.0,-0.45,-0.74,0.76,172.2,23.98,-62.24,29.47
92,3026.0,-0.45,-0.79,0.5,191.28,69.19,-77.56,29.57
93,3027.0,-0.22,-0.49,0.18,150.2,113.63,-45.33,29.61
94,3028.0,-0.06,-0.5,-0.43,65.59,104.21,-32.76,29.61
95,3029.0,0.14,-0.31,-0.83,-42.53,56.49,-27.54,29.66
96,3030.0,0.4,-0.11,-1.22,-86.79,-14.58,-38.76,29.66
97,3031.0,0.28,-0.1,-1.11,37.27,-112.55,-19.77,29.61
98,3032.0,0.11,-0.05,-0.83,196.67,-136.55,-17.62,29.61
99,3033.0,-0.05,0.01,-0.63,281.69,-66.9,-3.21,29.66
100,3034.0,-0.04,-0.04,-0.49,304.02,-32.0,-0.85,29.66
101,3035.0,-0.33,-0.01,-0.6,255.1,-30.05,-32.89,29.61
102,3036.0,0.11,0.06,-0.59,189.98,-26.18,-36.47,29.71
103,3037.0,-0.02,-0.01,-0.6,148.67,-31.1,-70.87,29.52
104,3038.0,-0.02,-0.24,-0.59,162.2,-41.22,-56.05,29.66
105,3039.0,-0.21,-0.38,-0.6,171.91,-35.94,-36.32,29.61
106,3040.0,-0.26,-0.51,-0.51,170.84,-31.25,-14.32,29.61
107,3041.0,-0.22,-0.39,-0.34,131.62,-23.45,-5.95,29.57
108,3042.0,-0.14,-0.15,-0.03,68.96,-31.08,-11.05,29.66
109,3043.0,-0.17,0.08,0.32,55.83,-32.9,18.44,29.71
110,3044.0,-0.12,0.2,0.43,47.6,-4.21,15.19,29.61
111,3045.0,0.06,0.34,0.51,62.12,12.73,25.37,29.57
112,3046.0,0.13,0.45,0.49,56.12,-0.9,34.03,29.47
113,3047.0,0.12,0.49,0.58,50.64,-17.24,35.91,29.52
114,3048.0,0.11,0.54,0.76,42.69,-24.72,23.97,29.61
115,3049.0,0.09,0.65,0.89,38.82,-17.63,19.89,29.57
116,3050.0,0.06,0.59,0.94,47.04,-8.14,10.85,29.57
117,3051.0,0.05,0.62,0.94,43.18,4.99,7.68,29.52
118,3052.0,0.07,0.62,0.93,26.37,16.09,2.96,29.61
119,3053.0,0.11,0.57,0.82,4.23,14.76,-6.27,29.71
120,3054.0,0.04,0.56,0.89,1.77,7.19,11.08,29.57
121,3055.0,0.0,0.42,0.85,5.25,12.63,4.99,29.61
122,3056.0,-0.01,0.36,0.82,20.46,16.38,10.76,29.52
123,3057.0,-0.04,0.24,0.77,15.73,16.49,0.61,29.66
124,3058.0,-0.06,0.19,0.81,-3.4,8.55,-20.64,29.66
125,3059.0,-0.08,0.21,0.87,-21.83,-0.53,-22.67,29.61
126,3060.0,-0.07,0.19,0.9,-33.6,2.69,-20.44,29.61
127,3061.0,-0.07,0.24,0.94,-28.99,0.9,-14.61,29.57
128,3062.0,-0.02,0.2,0.94,-12.02,-9.5,-14.98,29.57
129,3063.0,-0.07,0.28,0.96,17.65,-9.91,4.11,29.52
130,3064.0,-0.09,0.27,0.95,28.55,2.32,6.03,29.52
131,3065.0,-0.08,0.29,0.94,20.2,9.76,6.76,29.57
132,3066.0,0.02,0.3,0.91,9.07,0.75,1.89,29.57
133,3067.0,-0.01,0.34,0.96,6.37,-13.51,2.37,29.61
134,3068.0,-0.02,0.35,0.98,6.96,-2.31,-5.08,29.61
135,3069.0,-0.03,0.41,1.01,-1.05,6.92,-7.77,29.52
136,3070.0,-0.05,0.42,1.01,-0.18,4.09,-6.14,29.47
137,3071.0,-0.03,0.38,0.97,1.31,5.77,-5.56,29.61
138,3072.0,-0.0,0.35,0.88,5.37,4.56,-5.76,29.61
139,3073.0,0.0,0.34,0.91,20.7,-11.5,-3.91,29.57
140,3074.0,-0.02,0.31,0.89,29.77,-14.89,-3.01,29.66
141,3075.0,-0.05,0.28,0.95,39.92,-13.73,1.45,29.61
142,3076.0,-0.06,0.26,0.94,34.37,-8.37,-6.14,29.61
143,3077.0,-0.07,0.28,0.95,16.09,-2.82,-6.55,29.66
144,3078.0,-0.04,0.32,0.94,-0.78,0.89,-8.24,29.57
145,3079.0,-0.06,0.33,0.86,-10.67,2.61,-9.92,29.61
146,3080.0,-0.04,0.32,0.81,-8.08,1.57,-6.5,29.52
147,3081.0,-0.05,0.29,0.79,-1.5,-0.31,-5.47,29.57
148,3082.0,-0.03,0.31,0.76,0.61,-7.71,-1.71,29.66
149,3083.0,-0.07,0.31,0.83,3.45,-16.93,1.05,29.61
150,3084.0,-0.07,0.3,0.88,3.04,-14.21,-0.29,29.61
151,3085.0,-0.09,0.31,0.89,-1.28,-6.64,-1.22,29.66
152,3086.0,-0.09,0.3,0.93,1.63,-10.5,-0.72,29.57
153,3087.0,-0.1,0.32,0.91,-0.53,-6.85,1.21,29.61
154,3088.0,-0.09,0.3,0.91,1.18,-2.78,4.58,29.61
155,3089.0,-0.07,0.33,0.91,0.26,-4.44,6.52,29.57
156,3090.0,-0.07,0.28,0.97,0.06,-5.01,4.09,29.66
157,3091.0,-0.08,0.28,0.96,-1.39,-3.01,-2.89,29.61
158,3092.0,-0.08,0.31,0.97,-7.76,-1.97,-2.84,29.61
159,3093.0,-0.07,0.33,0.91,-6.4,1.34,0.76,29.57
160,3094.0,-0.04,0.33,0.91,-1.13,-1.39,0.08,29.57
161,3095.0,-0.06,0.33,0.92,6.5,-5.51,-0.55,29.61
162,3096.0,-0.05,0.33,0.93,6.79,0.02,-0.21,29.71
163,3097.0,-0.05,0.33,0.92,0.6,0.75,-3.4,29.57
164,3098.0,-0.04,0.37,0.93,-3.42,-4.32,-3.8,29.66
165,3099.0,-0.03,0.4,0.94,-1.1,-4.23,-3.48,29.61
166,3100.0,-0.02,0.39,0.92,2.02,2.85,-8.47,29.61
167,3101.0,-0.06,0.38,0.9,5.05,4.06,-4.14,29.57
168,3102.0,-0.03,0.38,0.87,5.24,2.64,-2.05,29.57
169,3103.0,-0.05,0.35,0.85,-1.08,3.47,2.46,29.61
170,3104.0,-0.04,0.33,0.87,-0.38,0.6,2.27,29.66
171,3105.0,-0.05,0.33,0.89,-0.06,-1.48,4.27,29.66
172,3106.0,-0.07,0.32,0.91,-1.36,-0.67,3.98,29.61
173,3107.0,-0.06,0.33,0.92,-4.67,1.22,1.89,29.61
174,3108.0,-0.05,0.34,0.91,-5.92,1.08,-2.93,29.66
175,3109.0,-0.04,0.34,0.89,-2.34,-1.4,-3.59,29.57
176,3110.0,-0.05,0.37,0.9,3.13,-1.31,-1.39,29.61
177,3111.0,-0.05,0.35,0.9,9.76,-1.6,0.0,29.61
178,3112.0,-0.07,0.33,0.92,12.63,-2.84,-0.27,29.57
179,3113.0,-0.07,0.36,0.96,4.31,0.27,-2.6,29.57
180,3114.0,-0.07,0.36,0.97,-6.12,4.03,-4.55,29.61
181,3115.0,-0.06,0.35,0.95,-10.08,6.26,-4.02,29.61
182,3116.0,-0.03,0.34,0.95,-14.15,10.63,-6.72,29.52
183,3117.0,-0.04,0.35,0.89,-7.95,9.85,-1.07,29.47
184,3118.0,-0.06,0.34,0.85,-7.3,7.25,-1.98,29.61
185,3119.0,-0.03,0.34,0.83,-6.14,2.84,-0.89,29.52
186,3120.0,-0.07,0.35,0.84,5.57,-4.72,4.64,29.57
187,3121.0,-0.04,0.35,0.87,13.5,-5.18,5.4,29.57
188,3122.0,-0.06,0.33,0.93,21.22,-2.69,8.15,29.61
189,3123.0,-0.07,0.33,0.94,16.37,2.4,5.82,29.61
190,3124.0,-0.08,0.34,0.95,2.72,2.98,3.07,29.66
191,3125.0,-0.07,0.34,0.92,-4.85,3.45,2.0,29.66
192,3126.0,-0.06,0.37,0.89,-3.51,2.72,2.29,29.61
193,3127.0,-0.03,0.38,0.85,4.31,2.75,1.31,29.52
194,3128.0,-0.02,0.4,0.87,8.7,-0.31,1.21,29.57
195,3129.0,-0.03,0.37,0.87,12.43,-4.58,1.48,29.57
196,3130.0,-0.04,0.35,0.89,8.31,-6.27,-0.73,29.52
197,3131.0,-0.05,0.34,0.92,5.91,-6.81,0.63,29.52
198,3132.0,-0.06,0.33,0.93,4.09,-6.5,0.09,29.61
199,3133.0,-0.06,0.33,0.95,4.99,-3.73,1.53,29.57
200,3134.0,-0.07,0.33,0.95,5.73,0.46,2.2,29.61
201,3135.0,-0.07,0.34,0.94,0.43,4.37,3.05,29.61
202,3136.0,-0.04,0.34,0.89,-4.17,5.15,3.47,29.57
203,3137.0,-0.05,0.35,0.89,-5.25,-2.18,3.76,29.47
204,3138.0,-0.04,0.34,0.9,-2.43,-2.31,3.01,29.61
205,3139.0,-0.04,0.35,0.91,-1.77,-0.35,2.15,29.61
206,3140.0,-0.04,0.35,0.94,-0.82,-1.31,0.14,29.66
207,3141.0,-0.03,0.33,0.92,-4.99,3.13,-4.41,29.57
208,3142.0,-0.03,0.34,0.89,-8.56,5.28,-3.68,29.61
209,3143.0,-0.03,0.36,0.87,-6.6,2.72,-0.85,29.71
210,3144.0,-0.01,0.37,0.84,-2.85,1.53,-0.85,29.57
211,3145.0,-0.01,0.36,0.83,2.5,0.63,-1.91,29.57
212,3146.0,-0.03,0.37,0.88,6.81,-4.82,0.67,29.61
213,3147.0,-0.03,0.37,0.9,5.39,-2.08,1.73,29.61
214,3148.0,-0.03,0.38,0.91,-0.55,1.82,1.33,29.52
